,number,name,type,ability,hidden_ability,gender_ratio,hatch_cycle,egg_group,Base_Experience_Yield,height,weight,leveling_rate,color,base_friendship,category,gen,legendary
1,#0001,Bulbasaur,Grass / Poison,Overgrow,Chlorophyll,"87.5% male, 12.5% female",20cycles,Monster / Grass,64.0,0.7,6.9,Medium Slow,Green,70.0,Seed Pokémon,1,No
2,#0002,Ivysaur,Grass / Poison,Overgrow,Chlorophyll,"87.5% male, 12.5% female",20cycles,Monster / Grass,142.0,1.0,13.0,Medium Slow,Green,70.0,Seed Pokémon,1,No
3,#0003,Venusaur,Grass / Poison,Overgrow / Chlorophyll,Thick Fat,"87.5% male, 12.5% female",20cycles,Monster / Grass,236.0,2.0,100.0,Medium Slow,Green,70.0,Seed Pokémon,1,No
4,#0004,Charmander,Fire,Blaze,Solar Power,"87.5% male, 12.5% female",20cycles,Monster / Dragon,62.0,0.6,8.5,Medium Slow,Red,70.0,Lizard Pokémon,1,No
5,#0005,Charmeleon,Fire,Blaze,Solar Power,"87.5% male, 12.5% female",20cycles,Monster / Dragon,142.0,1.1,19.0,Medium Slow,Red,70.0,Flame Pokémon,1,No
6,#0006,Charizard,Fire / Flying,Blaze,Solar Power,"87.5% male, 12.5% female",20cycles,Monster / Dragon,240.0,1.7,90.5,Medium Slow,Red,70.0,Flame Pokémon,1,No
7,#0007,Squirtle,Water,Torrent,Rain Dish,"87.5% male, 12.5% female",20cycles,Monster / Water 1,63.0,0.5,9.0,Medium Slow,Blue,70.0,Tiny Turtle Pokémon,1,No
8,#0008,Wartortle,Water,Torrent,Rain Dish,"87.5% male, 12.5% female",20cycles,Monster / Water 1,142.0,1.0,22.5,Medium Slow,Blue,70.0,Turtle Pokémon,1,No
9,#0009,Blastoise,Water,Torrent / Rain Dish,Mega Launcher,"87.5% male, 12.5% female",20cycles,Monster / Water 1,239.0,1.6,85.5,Medium Slow,Blue,70.0,Shellfish Pokémon,1,No
10,#0010,Caterpie,Bug,Shield Dust,Run Away,"50% male, 50% female",15cycles,Bug,39.0,0.3,2.9,Medium Fast,Green,70.0,Worm Pokémon,1,No
11,#0011,Metapod,Bug,Shed Skin,None,"50% male, 50% female",15cycles,Bug,72.0,0.7,9.9,Medium Fast,Green,70.0,Cocoon Pokémon,1,No
12,#0012,Butterfree,Bug / Flying,Compound Eyes,Tinted Lens,"50% male, 50% female",15cycles,Bug,178.0,1.1,32.0,Medium Fast,White,70.0,Butterfly Pokémon,1,No
13,#0013,Weedle,Bug / Poison,Shield Dust,Run Away,"50% male, 50% female",15cycles,Bug,39.0,0.3,3.2,Medium Fast,Brown,70.0,Hairy Bug Pokémon,1,No
14,#0014,Kakuna,Bug / Poison,Shed Skin,None,"50% male, 50% female",15cycles,Bug,72.0,0.6,10.0,Medium Fast,Yellow,70.0,Cocoon Pokémon,1,No
15,#0015,Beedrill,Bug / Poison,Swarm / Sniper,Adaptability,"50% male, 50% female",15cycles,Bug,178.0,1.0,29.5,Medium Fast,Yellow,70.0,Poison Bee Pokémon,1,No
16,#0016,Pidgey,Normal / Flying,Keen Eye / Tangled Feet,Big Pecks,"50% male, 50% female",15cycles,Flying,50.0,0.3,1.8,Medium Slow,Brown,70.0,Tiny Bird Pokémon,1,No
17,#0017,Pidgeotto,Normal / Flying,Keen Eye / Tangled Feet,Big Pecks,"50% male, 50% female",15cycles,Flying,122.0,1.1,30.0,Medium Slow,Brown,70.0,Bird Pokémon,1,No
18,#0018,Pidgeot,Normal / Flying,Keen Eye / Tangled Feet,Big Pecks,"50% male, 50% female",15cycles,Flying,216.0,1.5,39.5,Medium Slow,Brown,70.0,Bird Pokémon,1,No
19,#0019,Rattata,Normal,Run Away / Guts,Hustle,"50% male, 50% female",15cycles,Field,51.0,0.3,3.5,Medium Fast,Purple,70.0,Mouse Pokémon,1,No
20,#0020,Raticate,Normal,Run Away / Guts,Hustle,"50% male, 50% female",15cycles,Field,145.0,0.7,18.5,Medium Fast,Brown,70.0,Mouse Pokémon,1,No
21,#0021,Spearow,Normal / Flying,Keen Eye,Sniper,"50% male, 50% female",15cycles,Flying,52.0,0.3,2.0,Medium Fast,Brown,70.0,Tiny Bird Pokémon,1,No
22,#0022,Fearow,Normal / Flying,Keen Eye,Sniper,"50% male, 50% female",15cycles,Flying,155.0,1.2,38.0,Medium Fast,Brown,70.0,Beak Pokémon,1,No
23,#0023,Ekans,Poison,Intimidate / Shed Skin,Unnerve,"50% male, 50% female",20cycles,Field / Dragon,58.0,2.0,6.9,Medium Fast,Purple,70.0,Snake Pokémon,1,No
24,#0024,Arbok,Poison,Intimidate / Shed Skin,Unnerve,"50% male, 50% female",20cycles,Field / Dragon,157.0,3.5,65.0,Medium Fast,Purple,70.0,Cobra Pokémon,1,No
25,#0025,Pikachu,Electric,Static,Lightning Rod,"50% male, 50% female",10cycles,Field / Fairy,112.0,0.4,6.0,Medium Fast,Yellow,70.0,Mouse Pokémon,1,No
26,#0026,Raichu,Electric,Static,Lightning Rod,"50% male, 50% female",10cycles,Field / Fairy,218.0,0.8,30.0,Medium Fast,Yellow,70.0,Mouse Pokémon,1,No
27,#0027,Sandshrew,Ground,Sand Veil,Sand Rush,"50% male, 50% female",20cycles,Field,60.0,0.6,12.0,Medium Fast,Yellow,70.0,Mouse Pokémon,1,No
28,#0028,Sandslash,Ground,Sand Veil,Sand Rush,"50% male, 50% female",20cycles,Field,158.0,1.0,29.5,Medium Fast,Yellow,70.0,Mouse Pokémon,1,No
29,#0029,Nidoran♀,Poison,Poison Point / Rivalry,Hustle,100% female,20cycles,Monster / Field,55.0,0.4,7.0,Medium Slow,Blue,70.0,Poison Pin Pokémon,1,No
30,#0030,Nidorina,Poison,Poison Point / Rivalry,Hustle,100% female,20cycles,No Eggs Discovered,128.0,0.8,20.0,Medium Slow,Blue,70.0,Poison Pin Pokémon,1,No
31,#0031,Nidoqueen,Poison / Ground,Poison Point / Rivalry,Sheer Force,100% female,20cycles,No Eggs Discovered,227.0,1.3,60.0,Medium Slow,Blue,70.0,Drill Pokémon,1,No
32,#0032,Nidoran♂,Poison,Poison Point / Rivalry,Hustle,100% male,20cycles,Monster / Field,55.0,0.5,9.0,Medium Slow,Purple,70.0,Poison Pin Pokémon,1,No
33,#0033,Nidorino,Poison,Poison Point / Rivalry,Hustle,100% male,20cycles,Monster / Field,128.0,0.9,19.5,Medium Slow,Purple,70.0,Poison Pin Pokémon,1,No
34,#0034,Nidoking,Poison / Ground,Poison Point / Rivalry,Sheer Force,100% male,20cycles,Monster / Field,227.0,1.4,62.0,Medium Slow,Purple,70.0,Drill Pokémon,1,No
35,#0035,Clefairy,Fairy,Cute Charm / Magic Guard,Friend Guard,"25% male, 75% female",10cycles,Fairy,113.0,0.6,7.5,Fast,Pink,140.0,Fairy Pokémon,1,No
36,#0036,Clefable,Fairy,Cute Charm / Magic Guard,Unaware,"25% male, 75% female",10cycles,Fairy,217.0,1.3,40.0,Fast,Pink,140.0,Fairy Pokémon,1,No
37,#0037,Vulpix,Fire,Flash Fire,Drought,"25% male, 75% female",20cycles,Field,60.0,0.6,9.9,Medium Fast,Brown,70.0,Fox Pokémon,1,No
38,#0038,Ninetales,Fire,Flash Fire,Drought,"25% male, 75% female",20cycles,Field,177.0,1.1,19.9,Medium Fast,Yellow,70.0,Fox Pokémon,1,No
39,#0039,Jigglypuff,Normal / Fairy,Cute Charm / Competitive,Friend Guard,"25% male, 75% female",10cycles,Fairy,95.0,0.5,5.5,Fast,Pink,70.0,Balloon Pokémon,1,No
40,#0040,Wigglytuff,Normal / Fairy,Cute Charm / Competitive,Frisk,"25% male, 75% female",10cycles,Fairy,196.0,1.0,12.0,Fast,Pink,70.0,Balloon Pokémon,1,No
41,#0041,Zubat,Poison / Flying,Inner Focus,Infiltrator,"50% male, 50% female",15cycles,Flying,49.0,0.8,7.5,Medium Fast,Purple,70.0,Bat Pokémon,1,No
42,#0042,Golbat,Poison / Flying,Inner Focus,Infiltrator,"50% male, 50% female",15cycles,Flying,159.0,1.6,55.0,Medium Fast,Purple,70.0,Bat Pokémon,1,No
43,#0043,Oddish,Grass / Poison,Chlorophyll,Run Away,"50% male, 50% female",20cycles,Grass,64.0,0.5,5.4,Medium Slow,Blue,70.0,Weed Pokémon,1,No
44,#0044,Gloom,Grass / Poison,Chlorophyll,Stench,"50% male, 50% female",20cycles,Grass,138.0,0.8,8.6,Medium Slow,Blue,70.0,Weed Pokémon,1,No
45,#0045,Vileplume,Grass / Poison,Chlorophyll,Effect Spore,"50% male, 50% female",20cycles,Grass,221.0,1.2,18.6,Medium Slow,Red,70.0,Flower Pokémon,1,No
46,#0046,Paras,Bug / Grass,Effect Spore / Dry Skin,Damp,"50% male, 50% female",20cycles,Bug / Grass,57.0,0.3,5.4,Medium Fast,Red,70.0,Mushroom Pokémon,1,No
47,#0047,Parasect,Bug / Grass,Effect Spore / Dry Skin,Damp,"50% male, 50% female",20cycles,Bug / Grass,142.0,1.0,29.5,Medium Fast,Red,70.0,Mushroom Pokémon,1,No
48,#0048,Venonat,Bug / Poison,Compound Eyes / Tinted Lens,Run Away,"50% male, 50% female",20cycles,Bug,61.0,1.0,30.0,Medium Fast,Purple,70.0,Insect Pokémon,1,No
49,#0049,Venomoth,Bug / Poison,Shield Dust / Tinted Lens,Wonder Skin,"50% male, 50% female",20cycles,Bug,158.0,1.5,12.5,Medium Fast,Purple,70.0,Poison Moth Pokémon,1,No
50,#0050,Diglett,Ground,Sand Veil / Arena Trap,Sand Force,"50% male, 50% female",20cycles,Field,53.0,0.2,0.8,Medium Fast,Brown,70.0,Mole Pokémon,1,No
51,#0051,Dugtrio,Ground,Sand Veil / Arena Trap,Sand Force,"50% male, 50% female",20cycles,Field,149.0,0.7,33.3,Medium Fast,Brown,70.0,Mole Pokémon,1,No
52,#0052,Meowth,Normal,Pickup / Technician,Unnerve,"50% male, 50% female",20cycles,Field,58.0,0.4,4.2,Medium Fast,Yellow,70.0,Scratch Cat Pokémon,1,No
53,#0053,Persian,Normal,Limber / Technician,Unnerve,"50% male, 50% female",20cycles,Field,154.0,1.0,32.0,Medium Fast,Yellow,70.0,Classy Cat Pokémon,1,No
54,#0054,Psyduck,Water,Damp / Cloud Nine,Swift Swim,"50% male, 50% female",20cycles,Water 1 / Field,64.0,0.8,19.6,Medium Fast,Yellow,70.0,Duck Pokémon,1,No
55,#0055,Golduck,Water,Damp / Cloud Nine,Swift Swim,"50% male, 50% female",20cycles,Water 1 / Field,175.0,1.7,76.6,Medium Fast,Blue,70.0,Duck Pokémon,1,No
56,#0056,Mankey,Fighting,Vital Spirit / Anger Point,Defiant,"50% male, 50% female",20cycles,Field,61.0,0.5,28.0,Medium Fast,Brown,70.0,Pig Monkey Pokémon,1,No
57,#0057,Primeape,Fighting,Vital Spirit / Anger Point,Defiant,"50% male, 50% female",20cycles,Field,159.0,1.0,32.0,Medium Fast,Brown,70.0,Pig Monkey Pokémon,1,No
58,#0058,Growlithe,Fire,Intimidate / Flash Fire,Justified,"75% male, 25% female",20cycles,Field,70.0,0.7,19.0,Slow,Brown,70.0,Puppy Pokemon,1,No
59,#0059,Arcanine,Fire,Intimidate / Flash Fire,Justified,"75% male, 25% female",20cycles,Field,194.0,1.9,155.0,Slow,Brown,70.0,Legendary Pokémon,1,No
60,#0060,Poliwag,Water,Water Absorb / Damp,Swift Swim,"50% male, 50% female",20cycles,Water 1,60.0,0.6,12.4,Medium Slow,Blue,70.0,Tadpole Pokémon,1,No
61,#0061,Poliwhirl,Water,Water Absorb / Damp,Swift Swim,"50% male, 50% female",20cycles,Water 1,135.0,1.0,20.0,Medium Slow,Blue,70.0,Tadpole Pokémon,1,No
62,#0062,Poliwrath,Water / Fighting,Water Absorb / Damp,Swift Swim,"50% male, 50% female",20cycles,Water 1,230.0,1.3,54.0,Medium Slow,Blue,70.0,Tadpole Pokémon,1,No
63,#0063,Abra,Psychic,Synchronize / Inner Focus,Magic Guard,"75% male, 25% female",20cycles,Human-Like,62.0,0.9,19.5,Medium Slow,Brown,70.0,Psi Pokémon,1,No
64,#0064,Kadabra,Psychic,Synchronize / Inner Focus,Magic Guard,"75% male, 25% female",20cycles,Human-Like,140.0,1.3,56.5,Medium Slow,Brown,70.0,Psi Pokémon,1,No
65,#0065,Alakazam,Psychic,Synchronize / Inner Focus,Magic Guard,"75% male, 25% female",20cycles,Human-Like,225.0,1.5,48.0,Medium Slow,Brown,70.0,Psi Pokémon,1,No
66,#0066,Machop,Fighting,Guts / No Guard,Steadfast,"75% male, 25% female",20cycles,Human-Like,61.0,0.8,19.5,Medium Slow,Gray,70.0,Superpower Pokémon,1,No
67,#0067,Machoke,Fighting,Guts / No Guard,Steadfast,"75% male, 25% female",20cycles,Human-Like,142.0,1.5,70.5,Medium Slow,Gray,70.0,Superpower Pokémon,1,No
68,#0068,Machamp,Fighting,Guts / No Guard,Steadfast,"75% male, 25% female",20cycles,Human-Like,227.0,1.6,130.0,Medium Slow,Gray,70.0,Superpower Pokémon,1,No
69,#0069,Bellsprout,Grass / Poison,Chlorophyll,Gluttony,"50% male, 50% female",20cycles,Grass,60.0,0.7,4.0,Medium Slow,Green,70.0,Flower Pokémon,1,No
70,#0070,Weepinbell,Grass / Poison,Chlorophyll,Gluttony,"50% male, 50% female",20cycles,Grass,137.0,1.0,6.4,Medium Slow,Green,70.0,Flycatcher Pokémon,1,No
71,#0071,Victreebel,Grass / Poison,Chlorophyll,Gluttony,"50% male, 50% female",20cycles,Grass,221.0,1.7,15.5,Medium Slow,Green,70.0,Flycatcher Pokémon,1,No
72,#0072,Tentacool,Water / Poison,Clear Body / Liquid Ooze,Rain Dish,"50% male, 50% female",20cycles,Water 3,67.0,0.9,45.5,Slow,Blue,70.0,Jellyfish Pokémon,1,No
73,#0073,Tentacruel,Water / Poison,Clear Body / Liquid Ooze,Rain Dish,"50% male, 50% female",20cycles,Water 3,180.0,1.6,55.0,Slow,Blue,70.0,Jellyfish Pokémon,1,No
74,#0074,Geodude,Rock / Ground,Rock Head / Sturdy,Sand Veil,"50% male, 50% female",15cycles,Mineral,60.0,0.4,20.0,Medium Slow,Brown,70.0,Rock Pokémon,1,No
75,#0075,Graveler,Rock / Ground,Rock Head / Sturdy,Sand Veil,"50% male, 50% female",15cycles,Mineral,137.0,1.0,105.0,Medium Slow,Brown,70.0,Rock Pokémon,1,No
